,주소,위도,경도
148,대전 동구 계족로 368번길 70(성남동 주민센터)성남동 주민센터,36.3445247,127.435298
149,경기 안산시 단원구 안산천남로 119양지중학교,37.3047309,126.83108
150,경기 수원시 권선구 서부로 1600수원시도로교통관리사업소,37.2522258,126.9741156
151,충남 금산군 금산읍 비호로 69금산읍사무소 별관 1층 옥상,36.1072486,127.4883272
152,충남 서천군 서천읍 서천로14번길 20서천읍 문예의전당 주차장,36.0763432,126.6961188
153,전북 장수군 장수읍 호비로 10장수군청 옥상,35.6473043,127.5190309
154,충북 진천군 진천읍 상산로 65 읍내리 370-1진천읍사무소 옥상,36.854963,127.4390613
155,충남 천안시 백석동 555-57번지(백성농공단지)백성농공단지,36.8248989,127.1084876
156,인천 동구 금곡로 67(송림동)동구의회 옥상,37.473818,126.6410106
157,인천 강화군 송해면 전망대로 29(솔정리)송해면사무소 옥상,37.7645292,126.4617423
158,세종 보듬3로 114(아름동)아름동커뮤니티센터 옥상,37.7645292,126.4617423
159,서울 노원구 화랑로 429태능입구역 8번 출구,37.617794,127.0743073
160,부산 서구 대신로 150부산국민체육센터 옥상,35.1173663,129.0135435
161,대전 대덕구 문평동로 18번길 34(문평동 119안전센터)문평동 119안전센터,36.4470317,127.4026009
162,대구 남구 성당로30길55 성명초등학교별관3층옥상성명초등학교 별관 3층 옥상,35.8454939,128.5688151
163,경기 안양시 동안구 시민대로 235안양시청 민원실,37.394327,126.9546699
164,강원 원주시 문막읍 건등로 11문막읍행정복지센터 부지내 지상,37.3125964,127.8149799
165,부산광역시 북구 덕천2길 10덕천초등학교 운동장 남쪽 화단,35.2083832,129.0043196
166,대전 대덕구 대전로 1331번길 75(태아산업(주))태아산업(주),36.372271,127.4158269
167,경북 포항시 남구 철강로 331 공단정수장공단정수장,35.9801817,129.3726062
168,경기 의왕시 부곡중앙남1길 19해늘어린이집,37.3194024,126.9482453
169,충남 공주시 봉황로 1(공주시의회 옥상),36.4469512,127.1170203
170,경기 양주시 고읍남로 205청소년문화의 집,37.7918702,127.0823751
171,경북 김천시 운동장길1김천실내수영장 뒤편,36.1423891,128.0847165
172,경북 안동시 퇴계로 115 (명륜동)안동시청 경민관 옥상,36.568431,128.7273653
173,전북 익산시 무왕로 1338. 익산소방서옥상,35.9622298,127.0029607
174,인천 부평구 부평대로88번길 19(부평동)인천부평동초등학교 옥상,37.4996774,126.7215575
175,서울 용산구 한남대로 136서울특별시중부기술교육원,37.540033,127.0026613
176,경남 창원시 의창구 우곡로 101번길 85센터)(명서2동 민원센터),35.2456259,128.6469479
177,경남 김해시 활천로 303(신어초등학교),35.2442105,128.9092997
178,경기 광명시 소하일로 7소하도서관,37.4454883,126.8858202
179,서울 금천구 독산동 996-9한양수자인아파트 앞,37.4755723,126.8974021
180,경남 고성군 고성읍 중앙로 35고성읍보건지소 2층 옥상,36.2200999,125.3474757
181,충남 홍성군 홍북읍 홍예공원로 8충남보건환경연구원 부지내 1층,36.6550836,126.6652566
182,충남 계룡시 엄사면 번영7길 17엄사도서관 옥상,36.2870281,127.2357354
183,대전 유성구 도안대로 398대전역사박물관,36.3364373,127.3328978
184,인천 서구 검단로502번길 15(마전동)검단출장소 옥상,37.6021082,126.6590886
185,인천 남동구 구월말로 7(구월동)구월4동 행정복지센터 옥상,37.4496001,126.7218922
186,서울 강북구 삼양로 139길 49우이동 주민센터,37.6478866,127.0096919
187,부산 동래구 명장로 32명장1동 주민센터 옥상,35.204807,129.1029723
188,경북 경주시 성건동 667-3(성건동주민센터)성건동주민센터,35.85079,129.205169
189,경기 시흥시 복지로 37다다커뮤니티센터,37.4430567,126.7862134
190,경기 성남시 분당구 판교동 652-1백현1교차로,37.39276,127.0626232
191,대구 달성군 다사읍 매곡로12길 37다사읍주민자치센터,35.8649107,128.4549693
192,인천광역시 부평구 충선로 262시냇물공원 (삼산동),37.5131204,126.7340837
193,경북 포항시 남구 축항로 55송림초등학교 (송도동),36.0300148,129.3727341
194,"충북 청주시 상당구 용암동 1590(중흥로 29), 용암1동 주민센터 3층 옥상용암1동 주민센터 옥상",36.6088273,127.4990625
195,전북 김제시 요촌중길 50요촌동 주민센터 옥상,35.8051633,126.8892812
196,인천광역시 미추홀구 독정안길 26용정초등학교,37.4597088,126.6554262
197,울산 북구 염포로 290효문배수펌프장 옥상,35.5603091,129.3687104
198,서울 용산구 한강대로 405(서울역 앞),37.5518884,126.9666184
199,서울 성북구 삼양로2길 70길음2동 주민센터,37.6067725,127.0251684
200,서울 노원구 상계로 118상계2동 주민센터 (23길 17 노원구 원터행복발전소),37.6574151,127.0656876
201,부산 사하구 장림로 161번길 2장림1동주민센터 옥상,35.0830639,128.9647156
202,부산 동구 중앙대로349번길 14부산진역 1번 출구(윤흥신장군 동상옆),35.1269822,129.0440845
203,대구 수성구 만촌2동 934 (동원초등학교)(국채보상로 1000)동원초등학교,35.8652429,128.6378636
204,경북 포항시 남구 대도동 111-6(상대2동주민센터)상대2동주민센터,36.0139951,129.3548733
205,경기 의정부시 범골로 138경기도도로사업소,37.735543,127.0386032
206,경기 의정부시 가능로152번길 14의정부1동 주민센터,37.7463752,127.0456022
207,경기 연천군 연천읍 차현로 58연천군청 지역경제과,38.0964092,127.0728679
208,강원 원주시 충정길 12(학성동 206-6)중앙동주민센터 3층 옥상,37.3537837,127.9424124
209,충남 아산시 배방읍 배방로 38배방읍사무소 옥상,36.7738004,127.0516626
210,세종 누리로 27첫마을 6단지 관리사무소 옥상,36.7738004,127.0516626
211,경기 부천시 송내대로 262계남공원,37.506288,126.7571818
212,경북 상주시 북천로 63북문동주민센터,36.4255416,128.1522995
213,충남 태안군 소원면 파도길51-19,36.7363156,126.129979
214,인천 중구 서해대로 471(신흥동 2가)인천보건환경연구원 옥상,37.4680945,126.6329057
