,주소,위도,경도,지역,시군,ID
179,서울 금천구 독산동 996-9한양수자인아파트 앞,37.4755723,126.8974021,서울,금천,서울 금천
180,경남 고성군 고성읍 중앙로 35고성읍보건지소 2층 옥상,36.2200999,125.3474757,경남,고성,고성
181,충남 홍성군 홍북읍 홍예공원로 8충남보건환경연구원 부지내 1층,36.6550836,126.66525659999999,충남,홍성,홍성
182,충남 계룡시 엄사면 번영7길 17엄사도서관 옥상,36.2870281,127.23573540000001,충남,계룡,계룡
183,대전 유성구 도안대로 398대전역사박물관,36.33643729999999,127.33289779999998,대전,유성,대전 유성
184,인천 서구 검단로502번길 15(마전동)검단출장소 옥상,37.6021082,126.65908859999999,인천,서구,인천 서구
185,인천 남동구 구월말로 7(구월동)구월4동 행정복지센터 옥상,37.4496001,126.7218922,인천,남동,인천 남동
186,서울 강북구 삼양로 139길 49우이동 주민센터,37.64788660000001,127.00969189999999,서울,강북,서울 강북
187,부산 동래구 명장로 32명장1동 주민센터 옥상,35.204807,129.1029723,부산,동래,부산 동래
188,경북 경주시 성건동 667-3(성건동주민센터)성건동주민센터,35.85079,129.20516899999998,경북,경주,경주
189,경기 시흥시 복지로 37다다커뮤니티센터,37.44305670000001,126.78621340000001,경기,시흥,시흥
190,경기 성남시 분당구 판교동 652-1백현1교차로,37.392759999999996,127.0626232,경기,성남,성남 분당
191,대구 달성군 다사읍 매곡로12길 37다사읍주민자치센터,35.8649107,128.4549693,대구,달성,대구 달성
192,인천광역시 부평구 충선로 262시냇물공원 (삼산동),37.5131204,126.7340837,인천,부평,인천 부평
193,경북 포항시 남구 축항로 55송림초등학교 (송도동),36.0300148,129.3727341,경북,포항,포항 남구
194,"충북 청주시 상당구 용암동 1590(중흥로 29), 용암1동 주민센터 3층 옥상용암1동 주민센터 옥상",36.6088273,127.4990625,충북,청주,청주 상당
195,전북 김제시 요촌중길 50요촌동 주민센터 옥상,35.8051633,126.88928119999999,전북,김제,김제
